107,Tecno SPARK 10 PRO 8GB RAM - 128GB ROM 50 MP CAMERA DUAL SIM,"Rs. 39,499",5,Standard Delivery,88,93
108,"INFINIX SMART 7 4GB RAM 64GB ROM || 6000mAh BATTERY || 4G LTE || 6.6"" DISPLAY || ONE YEAR BRAND WARRANTY || PTA APPROVED","Rs. 25,399",5,Free Delivery,92,79
109,"Samsung Galaxy A54 , 5G , 8GB Ram 256GB Rom , 6.4 Inches AMOLED Display 120Hz , 5000 mAh-Fast battery 25W wired","Rs. 135,999",,Free Delivery,90,68
110,"Xiaomi Redmi Note 12S , 8GB RAM 256GB ROM , 108 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 78,499",,Free Delivery,95,36
111,"Redmi A2 Plus || 3GB + 64GB || 6.5 IPS Display || Battery (Li-ion Non removable), 5000 mAh","Rs. 20,499",5,Free Delivery,94,98
112,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 47,499",,Free Delivery,89,49
113,Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 50,449",4,Free Delivery,94,98
114,Sparx Neo 7 Plus || 4 Gb RAM 64 GB ROM || 13MP Camera || 5000mAh Battery || PTA Approved || 1Year Brand Warranty,"Rs. 23,299",4.7,Free Delivery,92,79
115,"Samsung Galaxy A13 - 6.6"" Inch display - 4GB RAM","Rs. 43,499",4.7,Free Delivery,85,79
116,"Redmi Note 12 Pro , 8GB Ram 256GB Rom , 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 67W","Rs. 88,999",4.8,Free Delivery,90,68
117,"Vivo V29 12GB Ram 256GB Rom 6.78 Inches AMOLED Display , 4600 mAh - Fast battery 80W wired","Rs. 162,999",,Free Delivery,90,68
118,"Xiaomi Poco X5 Pro 5 G RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 115,000",5,Free Delivery,95,92
119,"Vivo V27e , 8GB RAM , 256GB ROM , Back Camera 64 MP , Fingersensor , 4600 mAh Battery","Rs. 101,999",,Free Delivery,95,36
120,Infinix Note 30 Pro - 8GB RAM 256GB ROM - 120Hz 10-bit AMOLED Eye-care Display,"Rs. 64,499",,Free Delivery,89,92
121,Itel A60s || 4GB RAM 128GB ROM || 8MP camera || 5000 mAh bettery || PTA approved || 1year brand warranty,"Rs. 22,999",4.5,Free Delivery,92,79
122,"Tecno Camon 20 RAM 8 GB ROM 256 GB Front Camera 32 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 48,880",4.5,Free Delivery,95,92
123,"Xiaomi Redmi 12 , 4GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 38,999",5,Free Delivery,95,36
124,"Infinix Note 30 Pro , 8GB RAM 256GB ROM , 108MP Main Camera , 5000mAh Battery","Rs. 65,999",3,Standard Delivery,94,72
125,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 30,940",5,Standard Delivery,95,91
126,"Samsung A54 , 8GB RAM 256GB RAM , 50MP Main Camera , 5000mAh Fast Charging","Rs. 142,999",5,Standard Delivery,94,72
127,"Infinix Hot 20i - 6.6"" Inch Display - 4GB+3GB Extended RAM - 128GB ROM","Rs. 30,450",4.2,Free Delivery,86,75
128,"Xiaomi Poco X5 Pro || 8GB + 256GB || Display 6.7"" AMOLED || Battery Li-Po 5000 mAh ||","Rs. 111,999",5,Free Delivery,94,98
129,Daraz Like New Phones - Used Apple iPhone 11 Pro 64 GB Midnight Green - PTA Approved,"Rs. 184,999",,Standard Delivery,92,100
130,ITEL S23 16GB* Customizable RAM 256GB ROM; Expandable upto 1TB PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 33,150",,Free Delivery,86,75
